trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,participant,
293,training(41).mov,False,right,1,vgpdm_dyn(30)-lvm(15)_final(0).mov,0,133,133,74,,,,,,,,12:07:10:885,12:07:11:639,12:07:14:627,right,12:07:14:977,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
294,vcgpdm_dyn(10)-lvm(10)_final(5).mov,False,left,1,training(48).mov,0,134,134,144,,,,,,,,12:07:15:737,12:07:16:478,12:07:19:498,left,12:07:20:216,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
295,vcgpdm_dyn(20)-lvm(20)_final(6).mov,False,left,1,training(10).mov,0,135,135,123,,,,,,,,12:07:20:964,12:07:21:717,12:07:24:720,right,12:07:25:070,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
296,vgpdm_dyn(35)-lvm(25)_final(4).mov,False,left,1,training(38).mov,0,136,136,77,,,,,,,,12:07:25:825,12:07:26:571,12:07:29:573,right,12:07:30:074,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
297,training(19).mov,False,right,1,vcgpdm_dyn(35)-lvm(10)_final(2).mov,0,137,137,142,,,,,,,,12:07:30:820,12:07:31:575,12:07:34:677,right,12:07:35:061,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
298,vgpdm_dyn(5)-lvm(20)_final(8).mov,False,left,1,training(21).mov,0,138,138,44,,,,,,,,12:07:35:808,12:07:36:562,12:07:39:566,left,12:07:40:100,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
299,training(39).mov,False,right,1,vgpdm_dyn(25)-lvm(35)_final(5).mov,0,139,139,96,,,,,,,,12:07:40:865,12:07:41:601,12:07:44:603,left,12:07:44:920,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
300,training(40).mov,True,right,1,map_gpdm_final(0).mov,0,140,140,104,,,,,,,,12:07:45:684,12:07:46:421,12:07:49:422,right,12:07:49:889,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
301,vcgpdm_dyn(20)-lvm(15)_final(9).mov,True,left,1,training(27).mov,0,141,141,43,,,,,,,,12:07:50:635,12:07:51:390,12:07:54:394,right,12:07:55:011,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
302,training(11).mov,True,right,1,vcgpdm_dyn(30)-lvm(35)_final(7).mov,0,142,142,8,,,,,,,,12:07:55:764,12:07:56:512,12:07:59:514,left,12:07:59:848,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
303,training(31).mov,False,right,1,map_cgpdm_final(1).mov,0,143,143,126,,,,,,,,12:08:00:612,12:08:01:351,12:08:04:353,right,12:08:05:288,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
304,vcgpdm_dyn(30)-lvm(30)_final(0).mov,False,left,1,training(22).mov,0,144,144,21,,,,,,,,12:08:06:040,12:08:06:789,12:08:09:791,left,12:08:10:275,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
