trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
10,vgpdm_dyn(15)-lvm(5)_final(9).mov,False,left,0,training(21).mov,0,9,9,92,,,,,,,,16:36:45:826,16:36:46:555,16:36:49:557,left,16:36:49:757,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
11,vcgpdm_dyn(30)-lvm(10)_final(2).mov,True,left,0,training(37).mov,0,10,10,147,,,,,,,,16:36:50:725,16:36:51:258,16:36:54:261,left,16:36:54:645,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
12,vgpdm_dyn(15)-lvm(25)_final(5).mov,True,left,0,training(10).mov,0,11,11,88,,,,,,,,16:36:55:383,16:36:56:146,16:36:59:148,left,16:36:59:432,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
13,dmp_npsi(30)_final(5).mov,False,left,0,training(19).mov,0,12,12,30,,,,,,,,16:37:00:169,16:37:00:934,16:37:03:936,left,16:37:04:454,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
14,training(28).mov,True,right,0,vcgpdm_dyn(25)-lvm(30)_final(0).mov,0,13,13,37,,,,,,,,16:37:05:179,16:37:05:955,16:37:08:957,right,16:37:09:157,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
15,vcgpdm_dyn(20)-lvm(15)_final(6).mov,True,left,0,training(21).mov,0,14,14,35,,,,,,,,16:37:09:889,16:37:10:658,16:37:13:661,left,16:37:14:045,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
16,map_gpdm_final(5).mov,False,left,0,training(22).mov,0,15,15,46,,,,,,,,16:37:14:805,16:37:15:546,16:37:18:549,left,16:37:18:666,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
17,training(4).mov,True,right,0,vcgpdm_dyn(10)-lvm(15)_final(8).mov,0,16,16,0,,,,,,,,16:37:19:461,16:37:20:167,16:37:23:168,right,16:37:23:668,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
18,vgpdm_dyn(30)-lvm(35)_final(6).mov,False,left,0,training(21).mov,0,17,17,136,,,,,,,,16:37:24:530,16:37:25:169,16:37:28:172,left,16:37:28:522,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
19,training(24).mov,True,right,0,vcgpdm_dyn(25)-lvm(5)_final(4).mov,0,18,18,14,,,,,,,,16:37:29:442,16:37:30:023,16:37:33:026,left,16:37:33:593,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
20,vcgpdm_dyn(20)-lvm(20)_final(7).mov,False,left,0,training(2).mov,0,19,19,5,,,,,,,,16:37:34:349,16:37:35:094,16:37:38:083,right,16:37:38:450,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
21,training(30).mov,False,right,0,vgpdm_dyn(20)-lvm(10)_final(5)_out_of_screen.mov,0,20,20,40,,,,,,,,16:37:39:352,16:37:39:951,16:37:42:953,right,16:37:43:570,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
22,vgpdm_dyn(35)-lvm(5)_final(4).mov,False,left,0,training(38).mov,0,21,21,135,,,,,,,,16:37:44:472,16:37:45:072,16:37:48:074,left,16:37:48:391,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
23,training(10).mov,False,right,0,vgpdm_dyn(10)-lvm(25)_final(9).mov,0,22,22,49,,,,,,,,16:37:49:294,16:37:49:892,16:37:52:896,right,16:37:53:296,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
24,training(1).mov,True,right,0,vcgpdm_dyn(15)-lvm(5)_final(3).mov,0,23,23,99,,,,,,,,16:37:54:206,16:37:54:797,16:37:57:800,right,16:37:58:050,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
25,vgpdm_dyn(25)-lvm(35)_final(0).mov,True,left,0,training(35).mov,0,24,24,66,,,,,,,,16:37:58:946,16:37:59:551,16:38:02:554,right,16:38:03:187,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
26,vgpdm_dyn(10)-lvm(5)_final(6).mov,False,left,0,training(31).mov,0,25,25,42,,,,,,,,16:38:04:092,16:38:04:688,16:38:07:691,left,16:38:08:108,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
27,training(19).mov,False,right,0,dmp_npsi(35)_final(8).mov,0,26,26,151,,,,,,,,16:38:08:833,16:38:09:609,16:38:12:611,right,16:38:13:094,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
28,vgpdm_dyn(25)-lvm(20)_final(8).mov,True,left,0,training(40).mov,0,27,27,27,,,,,,,,16:38:14:010,16:38:14:596,16:38:17:598,left,16:38:18:032,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
29,dmp_npsi(40)_final(4).mov,True,left,0,training(1).mov,0,28,28,34,,,,,,,,16:38:18:941,16:38:19:533,16:38:22:535,right,16:38:22:936,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
30,training(8).mov,False,right,0,vcgpdm_dyn(15)-lvm(20)_final(2).mov,0,29,29,146,,,,,,,,16:38:23:935,16:38:24:437,16:38:27:424,left,16:38:27:742,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
31,vgpdm_dyn(15)-lvm(5)_final(5).mov,True,left,0,training(18).mov,0,30,30,50,,,,,,,,16:38:28:649,16:38:29:243,16:38:32:246,right,16:38:33:080,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
32,vgpdm_dyn(30)-lvm(30)_final(4).mov,True,left,0,training(29).mov,0,31,31,115,,,,,,,,16:38:33:982,16:38:34:581,16:38:37:584,left,16:38:37:851,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
33,vcgpdm_dyn(15)-lvm(30)_final(8).mov,False,left,0,training(34).mov,0,32,32,149,,,,,,,,16:38:38:762,16:38:39:352,16:38:42:354,right,16:38:42:721,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
34,training(8).mov,False,right,0,vcgpdm_dyn(30)-lvm(25)_final(8).mov,0,33,33,157,,,,,,,,16:38:43:623,16:38:44:222,16:38:47:226,right,16:38:47:576,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
35,training(22).mov,True,right,0,map_cgpdm_final(9).mov,0,34,34,26,,,,,,,,16:38:48:484,16:38:49:077,16:38:52:080,right,16:38:52:447,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
36,training(11).mov,False,right,0,vcgpdm_dyn(15)-lvm(15)_final(0).mov,0,35,35,3,,,,,,,,16:38:53:183,16:38:53:948,16:38:56:950,right,16:38:57:267,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
37,training(26).mov,True,right,0,vcgpdm_dyn(25)-lvm(35)_final(5).mov,0,36,36,58,,,,,,,,16:38:58:034,16:38:58:768,16:39:01:769,right,16:39:02:286,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
38,vgpdm_dyn(30)-lvm(20)_final(9).mov,True,left,0,training(25).mov,0,37,37,52,,,,,,,,16:39:03:022,16:39:03:788,16:39:06:791,right,16:39:07:858,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
39,training(35).mov,False,right,0,vgpdm_dyn(5)-lvm(15)_final(3).mov,0,38,38,90,,,,,,,,16:39:08:592,16:39:09:359,16:39:12:362,right,16:39:12:479,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
40,vcgpdm_dyn(30)-lvm(35)_final(2).mov,False,left,0,training(32).mov,0,39,39,61,,,,,,,,16:39:13:206,16:39:13:980,16:39:16:967,left,16:39:17:852,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
41,training(35).mov,True,right,0,vcgpdm_dyn(10)-lvm(30)_final(3).mov,0,40,40,21,,,,,,,,16:39:18:579,16:39:19:353,16:39:22:356,right,16:39:22:857,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
42,vcgpdm_dyn(30)-lvm(20)_final(3).mov,True,left,0,training(13).mov,0,41,41,1,,,,,,,,16:39:23:592,16:39:24:358,16:39:27:360,right,16:39:27:744,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
43,vcgpdm_dyn(20)-lvm(25)_final(1).mov,True,left,0,training(20).mov,0,42,42,93,,,,,,,,16:39:28:498,16:39:29:245,16:39:32:248,left,16:39:32:564,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
44,vgpdm_dyn(25)-lvm(20)_final(8).mov,False,left,0,training(20).mov,0,43,43,72,,,,,,,,16:39:33:290,16:39:34:066,16:39:37:068,left,16:39:37:502,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
45,tmp_numprim(10)_final(9).mov,False,left,0,training(15).mov,0,44,44,18,,,,,,,,16:39:38:231,16:39:39:004,16:39:42:023,right,16:39:42:307,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
46,tmp_numprim(10)_final(6).mov,True,left,0,training(7).mov,0,45,45,57,,,,,,,,16:39:43:044,16:39:43:808,16:39:46:810,right,16:39:47:578,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
47,vgpdm_dyn(25)-lvm(30)_final(7).mov,False,left,0,training(1).mov,0,46,46,9,,,,,,,,16:39:48:301,16:39:49:095,16:39:52:079,right,16:39:52:213,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
48,vcgpdm_dyn(30)-lvm(10)_final(6).mov,True,left,0,training(26).mov,0,47,47,104,,,,,,,,16:39:52:935,16:39:53:714,16:39:56:717,left,16:39:57:084,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
49,vcgpdm_dyn(35)-lvm(35)_final(3)_bad.mov,False,left,0,training(0).mov,0,48,48,108,,,,,,,,16:39:57:822,16:39:58:586,16:40:01:588,left,16:40:02:339,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
50,training(38).mov,False,right,0,tmp_numprim(6)_final(2).mov,0,49,49,24,,,,,,,,16:40:03:243,16:40:03:840,16:40:06:827,right,16:40:07:144,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
51,vgpdm_dyn(20)-lvm(35)_final(9).mov,False,left,0,training(2).mov,0,50,50,44,,,,,,,,16:40:07:879,16:40:08:645,16:40:11:648,left,16:40:12:833,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
52,vgpdm_dyn(35)-lvm(5)_final(2).mov,True,left,0,training(4).mov,0,51,51,4,,,,,,,,16:40:13:705,16:40:14:334,16:40:17:337,left,16:40:17:370,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
53,vgpdm_dyn(5)-lvm(20)_final(7).mov,False,left,0,training(38).mov,0,52,52,76,,,,,,,,16:40:18:094,16:40:18:871,16:40:21:874,left,16:40:22:441,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
54,tmp_numprim(4)_final(6).mov,False,left,0,training(21).mov,0,53,53,22,,,,,,,,16:40:23:340,16:40:23:942,16:40:26:945,left,16:40:27:128,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
55,vcgpdm_dyn(15)-lvm(5)_final(4).mov,True,left,0,training(16).mov,0,54,54,69,,,,,,,,16:40:27:857,16:40:28:629,16:40:31:633,left,16:40:32:000,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
56,vcgpdm_dyn(25)-lvm(30)_final(2).mov,False,left,0,training(39).mov,0,55,55,32,,,,,,,,16:40:32:756,16:40:33:501,16:40:36:503,left,16:40:37:171,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
57,training(8).mov,False,right,0,vgpdm_dyn(20)-lvm(20)_final(4).mov,0,56,56,155,,,,,,,,16:40:37:894,16:40:38:672,16:40:41:672,right,16:40:43:057,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
58,training(9).mov,True,right,0,vgpdm_dyn(10)-lvm(30)_final(7).mov,0,57,57,111,,,,,,,,16:40:43:785,16:40:44:558,16:40:47:561,right,16:40:48:145,2018_Jun_08_1635,59.949066735,MP-Perception Experiment,xx15w25take3,
