trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
286,vgpdm_dyn(10)-lvm(15)_final(7).webm,True,left,1,training(41).webm,0,126,126,119,,,,,,,,10:52:28:998,10:52:29:823,10:52:32:827,right,10:52:54:245,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
287,vcgpdm_dyn(25)-lvm(5)_final(2).webm,False,left,1,training(10).webm,0,127,127,33,,,,,,,,10:52:54:989,10:52:55:746,10:52:58:749,right,10:53:00:049,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
288,vgpdm_dyn(30)-lvm(10)_final(4).webm,False,left,1,training(35).webm,0,128,128,71,,,,,,,,10:53:00:724,10:53:01:551,10:53:04:553,left,10:53:04:920,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
289,training(12).webm,False,right,1,vcgpdm_dyn(20)-lvm(30)_final(6).webm,0,129,129,70,,,,,,,,10:53:05:597,10:53:06:422,10:53:09:425,right,10:53:09:775,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
290,training(11).webm,True,right,1,dmp_npsi(20)_final(2).webm,0,130,130,45,,,,,,,,10:53:10:625,10:53:11:276,10:53:14:278,right,10:53:14:829,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
291,training(33).webm,True,right,1,vgpdm_dyn(20)-lvm(30)_final(2).webm,0,131,131,133,,,,,,,,10:53:15:503,10:53:16:330,10:53:19:333,left,10:53:19:666,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
292,vgpdm_dyn(5)-lvm(35)_final(2)_bad.webm,False,left,1,training(13).webm,0,132,132,20,,,,,,,,10:53:20:423,10:53:21:167,10:53:24:169,left,10:53:28:439,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
293,training(35).webm,True,right,1,vcgpdm_dyn(15)-lvm(15)_final(2).webm,0,133,133,41,,,,,,,,10:53:29:116,10:53:29:940,10:53:32:943,right,10:53:33:660,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
294,vgpdm_dyn(10)-lvm(25)_final(7).webm,True,left,1,training(48).webm,0,134,134,150,,,,,,,,10:53:34:330,10:53:35:161,10:53:38:149,left,10:53:40:168,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
295,vcgpdm_dyn(5)-lvm(10)_final(7).webm,True,left,1,training(31).webm,0,135,135,115,,,,,,,,10:53:40:847,10:53:41:669,10:53:44:672,left,10:53:44:939,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
296,training(13).webm,False,right,1,vcgpdm_dyn(35)-lvm(10)_final(9).webm,0,136,136,51,,,,,,,,10:53:45:625,10:53:46:440,10:53:49:442,right,10:53:49:793,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
297,training(31).webm,False,right,1,vgpdm_dyn(10)-lvm(15)_final(4).webm,0,137,137,72,,,,,,,,10:53:50:479,10:53:51:294,10:53:54:296,right,10:53:54:630,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
298,vgpdm_dyn(20)-lvm(20)_final(2).webm,False,left,1,training(15).webm,0,138,138,157,,,,,,,,10:53:55:307,10:53:56:131,10:53:59:135,right,10:53:59:735,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
299,training(21).webm,True,right,1,vcgpdm_dyn(20)-lvm(25)_final(4).webm,0,139,139,63,,,,,,,,10:54:00:410,10:54:01:236,10:54:04:239,right,10:54:04:539,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
300,dmp_npsi(20)_final(9).webm,True,left,1,training(32).webm,0,140,140,17,,,,,,,,10:54:05:215,10:54:06:040,10:54:09:042,left,10:54:09:343,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
301,dmp_npsi(30)_final(6).webm,True,left,1,training(12).webm,0,141,141,77,,,,,,,,10:54:10:172,10:54:10:844,10:54:13:846,left,10:54:14:161,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
302,map_gpdm_final(8).webm,False,left,1,training(19).webm,0,142,142,92,,,,,,,,10:54:14:978,10:54:15:664,10:54:18:666,left,10:54:19:200,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
303,map_cgpdm_final(4).webm,False,left,1,training(4).webm,0,143,143,145,,,,,,,,10:54:19:935,10:54:20:701,10:54:23:704,left,10:54:23:970,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
304,training(32).webm,True,right,1,vgpdm_dyn(20)-lvm(20)_final(3).webm,0,144,144,148,,,,,,,,10:54:24:820,10:54:25:473,10:54:28:459,left,10:54:28:826,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
305,vgpdm_dyn(35)-lvm(5)_final(2).webm,False,left,1,training(18).webm,0,145,145,2,,,,,,,,10:54:29:578,10:54:30:327,10:54:33:331,right,10:54:33:698,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
306,training(24).webm,False,right,1,vcgpdm_dyn(5)-lvm(15)_final(3).webm,0,146,146,80,,,,,,,,10:54:34:543,10:54:35:199,10:54:38:201,right,10:54:38:852,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
