trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
250,training(27).mov,True,right,1,vcgpdm_dyn(5)-lvm(20)_final(1).mov,0,90,90,65,,,,,,,,08:28:22:285,08:28:23:048,08:28:26:051,right,08:28:26:434,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
251,training(38).mov,False,right,1,vgpdm_dyn(10)-lvm(25)_final(0).mov,0,91,91,43,,,,,,,,08:28:27:216,08:28:27:935,08:28:30:938,right,08:28:32:673,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
252,vgpdm_dyn(20)-lvm(20)_final(9).mov,True,left,1,training(31).mov,0,92,92,4,,,,,,,,08:28:33:440,08:28:34:190,08:28:37:176,right,08:28:37:961,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
253,training(39).mov,False,right,1,dmp_npsi(45)_final(2).mov,0,93,93,26,,,,,,,,08:28:38:742,08:28:39:462,08:28:42:465,right,08:28:43:247,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
254,vgpdm_dyn(5)-lvm(35)_final(6)_bad.mov,True,left,1,training(31).mov,0,94,94,27,,,,,,,,08:28:44:023,08:28:44:748,08:28:47:767,left,08:28:48:284,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
255,training(30).mov,True,right,1,vcgpdm_dyn(30)-lvm(30)_final(7).mov,0,95,95,50,,,,,,,,08:28:49:068,08:28:49:802,08:28:52:788,right,08:28:53:555,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
256,training(36).mov,True,right,1,vcgpdm_dyn(10)-lvm(5)_final(4).mov,0,96,96,103,,,,,,,,08:28:54:340,08:28:55:059,08:28:58:062,right,08:28:58:879,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
257,vgpdm_dyn(20)-lvm(5)_final(4).mov,True,left,1,training(14).mov,0,97,97,62,,,,,,,,08:28:59:662,08:29:00:397,08:29:03:382,left,08:29:03:983,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
258,vgpdm_dyn(15)-lvm(10)_final(4)_out_of_screen.mov,False,left,1,training(3).mov,0,98,98,60,,,,,,,,08:29:04:763,08:29:05:484,08:29:08:487,right,08:29:08:937,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
259,training(36).mov,True,right,1,vcgpdm_dyn(15)-lvm(10)_final(8).mov,0,99,99,23,,,,,,,,08:29:09:729,08:29:10:438,08:29:13:442,left,08:29:14:159,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
